title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
SUPERVISOR,https://cityjobs.nyc.gov/job/supervisor-in-brooklyn-jid-23546,2024-05-23,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"681 Clarkson Ave Bldg D, Bklyn",Full-Time,"$55,946.00 – $89,698.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,636850,2
COMMUNITY ASSOCIATE,https://cityjobs.nyc.gov/job/community-associate-in-bronx-jid-37450,2025-10-18,,BRONX COMMUNITY BOARD #5,Bronx Community Board #5,BRONX,"W 181St St. & University Ave.,",Full-Time,"$44,545.00 – $74,134.00",Constituent Services & Community Programs,Entry-Level,No Exam Required,752023,1
"Purchase Director, Fleet and Parts",https://cityjobs.nyc.gov/job/purchase-director-fleet-and-parts-in-nyc-all-boros-jid-37449,2025-10-18,2025-11-16,DEPT OF CITYWIDE ADMIN SVCS,OCP/Agency Purchasing,NYC-ALL BOROS,"1 Centre St., N.Y.",Full-Time,"$73,419.00 – $110,864.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,752002,1
Phlebotomist,https://cityjobs.nyc.gov/job/phlebotomist-in-nyc-all-boros-jid-37448,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,"303 9Th Ave., N.Y.",Full-Time,"$51,148.00 – $54,808.00",Health,Experienced (Non-Manager),Exam May Be Required,752005,1
Phlebotomist,https://cityjobs.nyc.gov/job/phlebotomist-in-nyc-all-boros-jid-37447,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,"303 9Th Ave., N.Y.",Part-Time,$28.00 – $30.00,Health,Experienced (Non-Manager),Exam May Be Required,751991,1
Human Resources Representative,https://cityjobs.nyc.gov/job/human-resources-representative-in-nyc-all-boros-jid-37446,2025-10-18,2025-10-30,DEPT OF HEALTH/MENTAL HYGIENE,OCME - Human Resources,NYC-ALL BOROS,421 East 26th Street NY NY,Part-Time,"$47,008.00 – $58,173.00",Administration & Human Resources,Entry-Level,Exam May Be Required,751993,1
Senior Modeler,https://cityjobs.nyc.gov/job/senior-modeler-in-manhattan-jid-37445,2025-10-18,2025-10-26,DEPARTMENT OF FINANCE,Property Modeling & Research,MANHATTAN,"66 John Street, New York, Ny",Full-Time,"$98,159.00 – $112,883.00","Technology, Data & Innovation",Experienced (Non-Manager),No Exam Required,739912,1
Administrative Associate Support,https://cityjobs.nyc.gov/job/administrative-associate-support-in-manhattan-jid-37312,2025-10-16,2025-11-15,ADMIN FOR CHILDREN'S SVCS,Division Of External Affairs,MANHATTAN,"150 William Street, New York N",Full-Time,"$53,370.00 – $78,180.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,739310,1
Direct Care Worker,https://cityjobs.nyc.gov/job/direct-care-worker-in-manhattan-jid-35374,2025-08-06,2025-12-16,ADMIN FOR CHILDREN'S SVCS,Children'S Center,MANHATTAN,"492 First Avenue, New York, Ny",Full-Time,"$48,094.00 – $75,866.00",Social Services,Experienced (Non-Manager),Exam May Be Required,718101,5
ELIGIBILITY SPECIALIST,https://cityjobs.nyc.gov/job/eligibility-specialist-in-manhattan-jid-28334,2024-12-10,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of Investigation-NM,MANHATTAN,375 Pearl Street,Full-Time,"$45,090.00 – $51,853.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,684966,1
CENTER DIRECTOR,https://cityjobs.nyc.gov/job/center-director-in-bronx-jid-27332,2024-10-26,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Hasa Hiv/Aids Svcs Admin-Mgr,BRONX,"1790 Grand Concourse, Bronx",Full-Time,"$66,067.00 – $71,246.00",Administration & Human Resources,Manager,Exam May Be Required,684418,1
CASEWORKER,https://cityjobs.nyc.gov/job/caseworker-in-manhattan-jid-27144,2024-10-19,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Customized Assist Svc-NM,MANHATTAN,4 World Trade Center,Full-Time,"$46,689.00 – $53,692.00",Social Services,Entry-Level,Exam May Be Required,684833,1
JCC MANAGER,https://cityjobs.nyc.gov/job/jcc-manager-in-manhattan-jid-27064,2024-10-17,2025-10-27,DEPT. OF HOMELESS SERVICES,Street Homelessness Solutions,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$66,067.00 – $84,000.00",Social Services,Experienced (Non-Manager),Exam May Be Required,684521,1
Certified IT Developer (Applications),https://cityjobs.nyc.gov/job/certified-it-developer-applications-in-manhattan-jid-37444,2025-10-18,2025-10-30,LAW DEPARTMENT,Information Technology,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$107,137.00 – $151,503.00","Technology, Data & Innovation",Experienced (Non-Manager),Exam May Be Required,751994,1
Phlebotomist,https://cityjobs.nyc.gov/job/phlebotomist-in-nyc-all-boros-jid-37443,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Clinical Operations,NYC-ALL BOROS,2238 Fifth Ave New York,Full-Time,"$55,187.00 – $59,140.00",Health,Experienced (Non-Manager),Exam May Be Required,751999,1
SPECIAL ASSISTANT TO THE CHIEF INFORMATION OFFICER (CIO),https://cityjobs.nyc.gov/job/special-assistant-to-the-chief-information-officer-cio-in-manhattan-jid-37442,2025-10-18,2025-12-16,HRA/DEPT OF SOCIAL SERVICES,Mgmt Information System-NM,MANHATTAN,4 World Trade Center,Full-Time,"$74,645.00 – $85,842.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,751896,1
College Aide,https://cityjobs.nyc.gov/job/college-aide-in-manhattan-jid-37441,2025-10-18,2025-12-16,DISTRICT ATTORNEY-MANHATTAN,EARLY ENGAGEMENT CASE SUPPORT,MANHATTAN,"40 Worth St., N.Y.",Part-Time,$17.00 – $17.50,Administration & Human Resources,Student,No Exam Required,751795,1
